L1 = Terminal Pathway,Splay,L2,L3,L4
11-cis-3-hydroxyretinal biosynthesis,L2A,Visual Cycles (4 instances),Vitamin A Biosynthesis (7 instances),Vitamin Biosynthesis (66 instances)
11-oxyandrogens biosynthesis,L2A,Hormone Biosynthesis (68 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
12-epi-fischerindole biosynthesis,L2A,Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
12-epi-hapalindole biosynthesis,L2A,Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
15-epi-lipoxin biosynthesis,L2A,Hormone Biosynthesis (68 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
"1D-myo-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)",L2A,Phytate Biosynthesis (6 instances),Cyclitol Biosynthesis (19 instances),Sugar Alcohol Biosynthesis (22 instances)
1D-myo-inositol hexakisphosphate biosynthesis II (mammalian),L2A,Phytate Biosynthesis (6 instances),Cyclitol Biosynthesis (19 instances),Sugar Alcohol Biosynthesis (22 instances)
1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza),L2A,Phytate Biosynthesis (6 instances),Cyclitol Biosynthesis (19 instances),Sugar Alcohol Biosynthesis (22 instances)
1D-myo-inositol hexakisphosphate biosynthesis IV (Dictyostelium),L2A,Phytate Biosynthesis (6 instances),Cyclitol Biosynthesis (19 instances),Sugar Alcohol Biosynthesis (22 instances)
"1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)",L2A,Phytate Biosynthesis (6 instances),Cyclitol Biosynthesis (19 instances),Sugar Alcohol Biosynthesis (22 instances)
"2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-galactosyl-diphospho-ditrans,octacis-undecaprenol biosynthesis",L2A,Teichoic Acid Biosynthesis (7 instances),Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate,L2A,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances),NA
2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA,L2A,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances),NA
2-amino-3-hydroxycyclopent-2-enone biosynthesis,L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
2-Aminobenzoate Degradation (4 instances),L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
2-aminoethylphosphonate biosynthesis,L2A,Phosphonate Compound Biosynthesis (3 instances),Phosphonate Metabolism (13 instances),Phosphorus Compound Metabolism (19 instances)
2-Aminoethylphosphonate Degradation (3 instances),L2A,Phosphonate Compound Degradation (9 instances),Phosphonate Metabolism (13 instances),Phosphorus Compound Metabolism (19 instances)
2-aminoethylphosphonate degradation I,L2A,2-Aminoethylphosphonate Degradation (3 instances),Phosphonate Compound Degradation (9 instances),Phosphonate Metabolism (13 instances)
2-aminoethylphosphonate degradation II,L2A,2-Aminoethylphosphonate Degradation (3 instances),Phosphonate Compound Degradation (9 instances),Phosphonate Metabolism (13 instances)
2-aminoethylphosphonate degradation III,L2A,2-Aminoethylphosphonate Degradation (3 instances),Phosphonate Compound Degradation (9 instances),Phosphonate Metabolism (13 instances)
2-aminophenol degradation,L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
2-arachidonoylglycerol biosynthesis,L2A,Nitrogen-Containing Secondary Compound Biosynthesis (122 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
"2-carboxy-1,4-naphthoquinol biosynthesis",L2A,"1,4-Dihydroxy-2-Naphthoate Biosynthesis (1 instances)",Quinol and Quinone Biosynthesis (57 instances),Electron Carrier Biosynthesis (99 instances)
2-chloroacrylate degradation I,L2A,2-Chloroacrylate-Degradation (2 instances),Chlorinated Compound Degradation (44 instances),Degradation/Utilization/Assimilation (1104 instances)
2-chloroacrylate degradation II,L2A,2-Chloroacrylate-Degradation (2 instances),Chlorinated Compound Degradation (44 instances),Degradation/Utilization/Assimilation (1104 instances)
2-Chloroacrylate-Degradation (2 instances),L2A,Chlorinated Compound Degradation (44 instances),Degradation/Utilization/Assimilation (1104 instances),NA
2-deoxy-alpha-D-ribose 1-phosphate degradation,L2A,Sugar Degradation (77 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
2-deoxy-D-glucose 6-phosphate degradation,L2A,Sugar Degradation (77 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
2-Deoxy-D-ribose Degradation (2 instances),L2A,Sugar Degradation (77 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
2-deoxy-D-ribose degradation I,L2A,2-Deoxy-D-ribose Degradation (2 instances),Sugar Degradation (77 instances),Carbohydrate Degradation (134 instances)
2-deoxy-D-ribose degradation II,L2A,2-Deoxy-D-ribose Degradation (2 instances),Sugar Degradation (77 instances),Carbohydrate Degradation (134 instances)
2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis,L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
2-hydroxybiphenyl degradation,L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
2-hydroxyparaconate and itatartarate biosynthesis,L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
"2-hydroxypenta-2,4-dienoate degradation",L2A,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances),NA
2-hydroxyphenazine biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
2-isopropylphenol degradation,L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
2-keto-L-gulonate biosynthesis,L2A,Carbohydrate Biosynthesis (228 instances),Biosynthesis (1993 instances),NA
2-methyl-branched fatty acid beta-oxidation,L2A,Fatty Acid Degradation (20 instances),Fatty Acid and Lipid Degradation (57 instances),Degradation/Utilization/Assimilation (1104 instances)
2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,L2A,Adenosylcobamide Biosynthesis (13 instances),Cobamide de novo Biosynthesis (21 instances),Cobamide Biosynthesis (28 instances)
2-Methylcitrate Cycle (2 instances),L2A,Propanoate Degradation (4 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
2-methylcitrate cycle I,L2A,2-Methylcitrate Cycle (2 instances),Propanoate Degradation (4 instances),Carboxylate Degradation (101 instances)
2-methylcitrate cycle II,L2A,2-Methylcitrate Cycle (2 instances),Propanoate Degradation (4 instances),Carboxylate Degradation (101 instances)
2-methylisoborneol biosynthesis,L2A,Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
2-methylpropene degradation,L2A,Alkene Degradation (4 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
2-Nitrobenzoate Degradation (2 instances),L2A,Nitrobenzoate Degradation (3 instances),Nitroaromatic Compound Degradation (20 instances),Aromatic Compound Degradation (227 instances)
2-nitrobenzoate degradation I,L2A,2-Nitrobenzoate Degradation (2 instances),Nitrobenzoate Degradation (3 instances),Nitroaromatic Compound Degradation (20 instances)
2-nitrobenzoate degradation II,L2A,2-Nitrobenzoate Degradation (2 instances),Nitrobenzoate Degradation (3 instances),Nitroaromatic Compound Degradation (20 instances)
2-nitrotoluene degradation,L2A,Nitrotoluene Degradation (4 instances),Nitroaromatic Compound Degradation (20 instances),Aromatic Compound Degradation (227 instances)
2-O-acetyl-3-O-trans-coutarate biosynthesis,L2A,Cinnamate Biosynthesis (14 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
2-O-alpha-mannosyl-D-glycerate degradation,L2A,Sugar Degradation (77 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
2-Oxobutanoate Degradation (2 instances),L2A,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances),NA
2-oxobutanoate degradation I,L2A,2-Oxobutanoate Degradation (2 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
2-oxobutanoate degradation II,L2A,2-Oxobutanoate Degradation (2 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
2-oxoglutarate decarboxylation to succinyl-CoA,L2A,Respiration (65 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
2-oxoisovalerate decarboxylation to isobutanoyl-CoA,L2A,Respiration (65 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
2-propylphenol degradation,L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
"2,2'-bis-(4-hydroxy-3-methybut-2-enyl)-beta,beta-carotene monoglucoside biosynthesis",L2A,C50 Carotenoid Biosynthesis (4 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
"2,2'-dihydroxybiphenyl degradation",L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
"2,3-Butanediol Degradation (2 instances)",L2A,Alcohol Degradation (20 instances),Degradation/Utilization/Assimilation (1104 instances),NA
"2,3-cis-flavanols biosynthesis",L2A,Flavonol Biosynthesis (32 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
"2,3-dihydroxybenzoate biosynthesis",L2A,Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances),NA
"2,3-dihydroxybenzoate degradation",L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
"2,3-trans-flavanols biosynthesis",L2A,Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
"2,4-dinitroanisole degradation",L2A,Nitroaromatic Compound Degradation (20 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
"2,4-dinitrotoluene degradation",L2A,Dinitrotoluene Degradation (3 instances),Nitroaromatic Compound Degradation (20 instances),Aromatic Compound Degradation (227 instances)
"2,4-xylenol degradation to protocatechuate",L2A,Toluene Degradation (14 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
"2,4,6-trinitrotoluene degradation",L2A,Nitrotoluene Degradation (4 instances),Nitroaromatic Compound Degradation (20 instances),Aromatic Compound Degradation (227 instances)
"2,5-xylenol and 3,5-xylenol degradation",L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
"2,6-dinitrotoluene degradation",L2A,Dinitrotoluene Degradation (3 instances),Nitroaromatic Compound Degradation (20 instances),Aromatic Compound Degradation (227 instances)
2'-deoxymugineic acid phytosiderophore biosynthesis,L2A,Siderophore and Metallophore Biosynthesis (29 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
2'-Deoxyribonucleotide Biosynthesis (11 instances),L2A,Nucleoside and Nucleotide Biosynthesis (57 instances),Biosynthesis (1993 instances),NA
"2alpha,7beta-dihydroxylation of taxusin",L2A,Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
3-(4-hydroxyphenyl)pyruvate biosynthesis,L2A,Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances),NA
3-(4-sulfophenyl)butanoate degradation,L2A,Sulfoaromatic Compound Degradation (5 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
3-(imidazol-5-yl)lactate salvage,L2A,L-histidine Biosynthesis (2 instances),Proteinogenic Amino Acid Biosynthesis (89 instances),Amino Acid Biosynthesis (124 instances)
3-[(E)-2-isocyanoethenyl]-1H-indole biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
"3-amino-4,7-dihydroxy-coumarin biosynthesis",L2A,Coumarins Biosynthesis (14 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
3-amino-5-hydroxybenzoate biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
3-carene biosynthesis,L2A,Monoterpenoid Biosynthesis (24 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
3-Dehydroquinate Biosynthesis (2 instances),L2A,Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances),NA
3-dehydroquinate biosynthesis I,L2A,3-Dehydroquinate Biosynthesis (2 instances),Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances)
3-dehydroquinate biosynthesis II (archaea),L2A,3-Dehydroquinate Biosynthesis (2 instances),Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances)
3-hydroxy-4-methyl-anthranilate biosynthesis (2 instances),L2A,Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances),NA
3-hydroxy-4-methyl-anthranilate biosynthesis I,L2A,3-hydroxy-4-methyl-anthranilate biosynthesis (2 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
3-hydroxy-4-methyl-anthranilate biosynthesis II,L2A,3-hydroxy-4-methyl-anthranilate biosynthesis (2 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
3-hydroxy-4-methyl-proline biosynthesis,L2A,Other Amino Acid Biosynthesis (24 instances),Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
3-hydroxy-L-homotyrosine biosynthesis,L2A,Other Amino Acid Biosynthesis (24 instances),Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
3-hydroxypropanoate cycle,L2A,Autotrophic CO2 Fixation (12 instances),CO2 Fixation (15 instances),C1 Compound Utilization and Assimilation (39 instances)
3-hydroxypropanoate/4-hydroxybutanate cycle,L2A,Autotrophic CO2 Fixation (12 instances),CO2 Fixation (15 instances),C1 Compound Utilization and Assimilation (39 instances)
3-hydroxyquinaldate biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
3-methyl-branched fatty acid alpha-oxidation,L2A,Fatty Acid Degradation (20 instances),Fatty Acid and Lipid Degradation (57 instances),Degradation/Utilization/Assimilation (1104 instances)
3-methylarginine biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
3-methylbutanol biosynthesis (engineered),L2A,Other Biosynthesis (18 instances),Biosynthesis (1993 instances),NA
3-methylquinoline degradation,L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
3-methylthiopropanoate biosynthesis,L2A,Sulfur-Containing Secondary Compound Biosynthesis (13 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
3-oxoadipate degradation,L2A,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances),NA
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate,L2A,Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
3-phosphoinositide biosynthesis,L2A,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
