"","L1...Terminal.Pathway","L3","L4","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"3123","beta-caryophyllene biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"3124","beta-cubebene biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"3125","beta-D-mannosyl phosphomycoketide biosynthesis","Biosynthesis (1993 instances)",NA,"Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"3126","beta-dihydromenaquinone-9 biosynthesis","Electron Carrier Biosynthesis (99 instances)","Carrier Biosynthesis (137 instances)","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"3127","beta-pyrazole-1-ylalanine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Non-Protein Amino Acid Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"3128","betacyanin biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Betalaine Alkaloid Biosynthesis (8 instances)",NA,NA,NA,NA,NA,NA
"3129","betacyanin biosynthesis (via dopamine)","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Betalaine Alkaloid Biosynthesis (8 instances)",NA,NA,NA,NA,NA,NA
"3130","Betalaine Alkaloid Biosynthesis (8 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"3131","betalamic acid biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Betalaine Alkaloid Biosynthesis (8 instances)",NA,NA,NA,NA,NA,NA
"3132","betanidin degradation","Nitrogen Containing Secondary Compound Degradation (23 instances)","Secondary Metabolite Degradation (127 instances)","Alkaloid Degradation (8 instances)",NA,NA,NA,NA,NA,NA
"3133","betaxanthin biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Betalaine Alkaloid Biosynthesis (8 instances)",NA,NA,NA,NA,NA,NA
"3134","betaxanthin biosynthesis (via dopamine)","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Betalaine Alkaloid Biosynthesis (8 instances)",NA,NA,NA,NA,NA,NA
"3135","betaxanthin biosynthesis (via dopaxanthin)","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Betalaine Alkaloid Biosynthesis (8 instances)",NA,NA,NA,NA,NA,NA
"3136","betulinate biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"3137","bikaverin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"3138","bile acid biosynthesis, neutral pathway","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Sterol Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"3139","Bioluminescence (7 instances)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3140","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3141","Biotin Biosynthesis (5 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biosynthesis (1993 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"3142","biotin biosynthesis from 8-amino-7-oxononanoate I","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biotin Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"3143","biotin biosynthesis from 8-amino-7-oxononanoate II","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biotin Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"3144","biotin biosynthesis from 8-amino-7-oxononanoate III","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biotin Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"3145","biotin-carboxyl carrier protein assembly","Biosynthesis (1993 instances)",NA,"Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"3146","biphenyl degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"3147","bis(guanylyl molybdenum cofactor) biosynthesis","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Molybdenum-Containing Cofactor Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"3148","bis(guanylyl molybdopterin) cofactor sulfurylation","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Molybdenum-Containing Cofactor Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"3149","bis(guanylyl tungstenpterin) cofactor biosynthesis","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Molybdenum-Containing Cofactor Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"3150","bis(tungstenpterin) cofactor biosynthesis","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Molybdenum-Containing Cofactor Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"3151","bisabolene biosynthesis (engineered)","Terpenoid Degradation (22 instances)","Secondary Metabolite Degradation (127 instances)","Sesquiterpenoid Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"3152","bisbenzylisoquinoline alkaloid biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"3153","bisphenol A degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Phenolic Compound Degradation (27 instances)",NA,NA,NA,NA,NA,NA
"3154","bisucaberin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Siderophore and Metallophore Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"3155","blasticidin S biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"3156","bornyl diphosphate biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Monoterpenoid Biosynthesis (24 instances)",NA,NA,NA,NA,NA,NA
"3157","botrydial biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"3158","botryococcenes and methylated squalene biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"3159","Branched Fatty Acid Biosynthesis (5 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Fatty Acid Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"3160","branched-chain polyamines biosynthesis","Biosynthesis (1993 instances)",NA,"Amine and Polyamine Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"3161","brassicicene C biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Diterpenoid Biosynthesis (44 instances)",NA,NA,NA,NA,NA,NA
"3162","Brassinosteroid Biosynthesis (2 instances)","Hormone Biosynthesis (68 instances)","Secondary Metabolite Biosynthesis (911 instances)","Plant Hormone Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"3163","brassinosteroid biosynthesis I","Plant Hormone Biosynthesis (37 instances)","Hormone Biosynthesis (68 instances)","Brassinosteroid Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3164","brassinosteroid biosynthesis II","Plant Hormone Biosynthesis (37 instances)","Hormone Biosynthesis (68 instances)","Brassinosteroid Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3165","brominated pyrroles biosynthesis","Aromatic Compound Biosynthesis (51 instances)","Biosynthesis (1993 instances)","Halogenated Aromatic Compound Biosynthesis (8 instances)",NA,NA,NA,NA,NA,NA
"3166","bryostatin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"3167","bupropion degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Degradation/Utilization/Assimilation - Other (28 instances)",NA,NA,NA,NA,NA,NA
"3168","butane degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"3169","Butanediol Biosynthesis (6 instances)","Biosynthesis (1993 instances)",NA,"Other Biosynthesis (18 instances)",NA,NA,NA,NA,NA,NA
"3170","butanol and isobutanol biosynthesis (engineered)","Fermentation (81 instances)","Generation of Precursor Metabolites and Energy (240 instances)","Fermentation to Alcohols (17 instances)",NA,NA,NA,NA,NA,NA
"3171","butirosin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"3172","C1 Compound Utilization and Assimilation (39 instances)",NA,NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"3173","C20 prostanoid biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"3174","C4 photosynthetic carbon assimilation cycle, NAD-ME type","Generation of Precursor Metabolites and Energy (240 instances)",NA,"Photosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"3175","C4 photosynthetic carbon assimilation cycle, NADP-ME type","Generation of Precursor Metabolites and Energy (240 instances)",NA,"Photosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"3176","C4 photosynthetic carbon assimilation cycle, PEPCK type","Generation of Precursor Metabolites and Energy (240 instances)",NA,"Photosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"3177","C50 Carotenoid Biosynthesis (4 instances)","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Carotenoid Biosynthesis (43 instances)",NA,NA,NA,NA,NA,NA
"3178","Caffeine Biosynthesis (2 instances)","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Purine Alkaloid Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"3179","caffeine biosynthesis I","Purine Alkaloid Biosynthesis (4 instances)","Alkaloid Biosynthesis (89 instances)","Caffeine Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3180","caffeine biosynthesis II (via paraxanthine)","Purine Alkaloid Biosynthesis (4 instances)","Alkaloid Biosynthesis (89 instances)","Caffeine Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3181","Caffeine Degradation (5 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)","Secondary Metabolite Degradation (127 instances)","Alkaloid Degradation (8 instances)",NA,NA,NA,NA,NA,NA
"3182","caffeine degradation I (main, plants)","Alkaloid Degradation (8 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)","Caffeine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"3183","caffeine degradation II","Alkaloid Degradation (8 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)","Caffeine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"3184","caffeine degradation III (bacteria, via demethylation)","Alkaloid Degradation (8 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)","Caffeine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"3185","caffeine degradation V (bacteria, via trimethylurate)","Alkaloid Degradation (8 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)","Caffeine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"3186","caffeoylglucarate biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"3187","calendate biosynthesis","Polyunsaturated Fatty Acid Biosynthesis (29 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)","Conjugated Fatty Acid Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"3188","calycosin 7-O-glucoside biosynthesis","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Isoflavonoid Biosynthesis (31 instances)",NA,NA,NA,NA,NA,NA
"3189","calystegine biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Tropane Alkaloid Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"3190","camalexin biosynthesis","Phytoalexin Biosynthesis (38 instances)","Toxin Biosynthesis (205 instances)","Indole Phytoalexin Biosynthesis (1 instances)",NA,NA,NA,NA,NA,NA
"3191","Camphor Biosynthesis (2 instances)","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Monoterpenoid Biosynthesis (24 instances)",NA,NA,NA,NA,NA,NA
"3192","Camphor Degradation (2 instances)","Secondary Metabolite Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)","Terpenoid Degradation (22 instances)",NA,NA,NA,NA,NA,NA
"3193","camptothecin biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Quinoline Alkaloid Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3194","canavanine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Non-Protein Amino Acid Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"3195","canavanine degradation","Secondary Metabolite Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)",NA,NA,NA,NA,NA,NA
"3196","candicidin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"3197","cannabinoid biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Terpenophenolic Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"3198","capsaicin biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"3199","capsiconiate biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"3200","carbaryl degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"3201","carbazole degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"3202","Carbofuran Degradation (3 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"3203","carbofuran degradation I","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Carbofuran Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3204","carbofuran degradation II","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Carbofuran Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3205","carbofuran degradation III","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Carbofuran Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3206","Carbohydrate Biosynthesis (228 instances)",NA,NA,"Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"3207","Carbohydrate Degradation (134 instances)",NA,NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"3208","Carbon Disulfide Degradation (3 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Degradation/Utilization/Assimilation - Other (28 instances)",NA,NA,NA,NA,NA,NA
"3209","carbon disulfide oxidation I (anaerobic)","Degradation/Utilization/Assimilation - Other (28 instances)","Degradation/Utilization/Assimilation (1104 instances)","Carbon Disulfide Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3210","carbon disulfide oxidation II (aerobic)","Degradation/Utilization/Assimilation - Other (28 instances)","Degradation/Utilization/Assimilation (1104 instances)","Carbon Disulfide Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3211","carbon disulfide oxidation III (metazoa)","Degradation/Utilization/Assimilation - Other (28 instances)","Degradation/Utilization/Assimilation (1104 instances)","Carbon Disulfide Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"3212","carbon monoxide oxidation to CO2","Degradation/Utilization/Assimilation (1104 instances)",NA,"C1 Compound Utilization and Assimilation (39 instances)",NA,NA,NA,NA,NA,NA
"3213","Carbon Tetrachloride Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Chlorinated Compound Degradation (44 instances)",NA,NA,NA,NA,NA,NA
"3214","carbon tetrachloride degradation I","Chlorinated Compound Degradation (44 instances)","Degradation/Utilization/Assimilation (1104 instances)","Carbon Tetrachloride Degradation (2 instances)",NA,NA,NA,NA,NA,NA
